Āfrika	Afrika
Lacio	Latium
Abruco	Abruzzen
Apenīni	Apennin
Alpi	Alpen
Karpati	Karpaten
Grenoble	Grenoble
Blēzs Paskāls	Blaise Pascal
Dambrete	Dame (Spiel)
Dortmunde	Dortmund
Gente	Gent
Čikāga	Chicago
The Beatles	The Beatles
Ununtrijs	Ununtrium
Flerovijs	Flerovium
Ununpentijs	Ununpentium
Livermorijs	Livermorium
Ununseptijs	Ununseptium
Ununoktijs	Ununoctium
Komo (pilsēta)	Como
Māstrihta	Maastricht
Arnema	Arnhem
Ziema	Winter
Pavasaris	Frühling
Vasara	Sommer
Rudens	Herbst
Ekvinokcija	Äquinoktium
Sadams Huseins	Saddam Hussein
Osama bin Ladens	Osama bin Laden
Spāņu valoda	Spanische Sprache
Frīdrihs Hajeks	Friedrich August von Hayek
Montevideo	Montevideo
Johans Sebastians Bahs	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Toljati	Toljatti
Pitsburga	Pittsburgh
Opera	Oper
Filadelfija	Philadelphia
Kolkata	Kalkutta
Toljati "Lada"	HK Lada Togliatti
Čennai	Chennai
Deli	Delhi
Daka	Dhaka
Bengalūru	Bangalore
Rietumbengāle	Westbengalen
Zirnekļi	Webspinnen
Zirnekļveidīgie	Spinnentiere
Helicerāti	Kieferklauenträger
Posmkāji	Gliederfüßer
Haidarābādu	Hyderabad (Indien)
Islāmābāda	Islamabad
Tripura	Tripura
Auglis	Frucht
Kategorija:Portu	Kategorie:Porto
Nauda	Geld
Virdžīnija	Virginia
Rietumvirdžīnija	West Virginia
Materhorns	Matterhorn
Dungeons & Dragons	Dungeons & Dragons
Dārzeņpipars	Spanischer Pfeffer
Hūrons	Huronsee
Ņujorka (štats)	New York (Bundesstaat)
Cērijs	Cer
Prazeodīms	Praseodym
Rodailenda	Rhode Island
Neodīms	Neodym
Kukaiņi	Insekten
Mērilenda	Maryland
Delavēra	Delaware
Vladimirs Ļeņins	Wladimir Iljitsch Lenin
Eiropijs	Europium
Ohaio (štats)	Ohio
Vergilijs	Vergil
Nikolo Makjavelli	Niccolò Machiavelli
Pensilvānija	Pennsylvania
Frančesko Petrarka	Francesco Petrarca
Džovanni Bokačo	Giovanni Boccaccio
Luidži Pirandello	Luigi Pirandello
Iterzene	Uetersen
Oktaviāns	Augustus
Microsoft Windows	Microsoft Windows
Tibērijs	Tiberius
Ņūdžersija	New Jersey
Kaligula	Caligula
Gibraltārs	Gibraltar
Klaudijs	Claudius
Somu valoda	Finnische Sprache
Nērons	Nero
Indiāna	Indiana
Otons	Otho
Vitēlijs	Vitellius
Nokia	Nokia
Vespasiāns	Vespasian
Automašīna	Automobil
Tits	Titus
Turīnas "Juventus"	Juventus Turin
Domiciāns	Domitian
Nerva	Nerva
Trajāns	Trajan
Rodžers Federers	Roger Federer
Adriāns	Hadrian (Kaiser)
Džordžija	Georgia
Antonijs Pijs	Antoninus Pius
Marks Aurēlijs	Mark Aurel
KDE	KDE
Komods	Commodus
Zagreba	Zagreb
Rādžastāna	Rajasthan
Kampānija	Kampanien
Teksasa	Texas
Septimijs Severs	Septimius Severus
Molize	Molise
Tamilnāda	Tamil Nadu
Karakalla	Caracalla
Apūlija	Apulien
Dženova	Genua
Bruno Mars	Bruno Mars
Pinatubo	Pinatubo
Bazilikata	Basilikata
Ziemeļkarolīna	North Carolina
Lauka hokejs	Hockey
Dienvidkarolīna	South Carolina
Dženovas "Sampdoria"	Sampdoria Genua
Kalabrija	Kalabrien
Sicīlija	Autonome Region Sizilien
Manila	Manila
Sardīnija	Sardinien
Ferdinands Markoss	Ferdinand Marcos
Sebu	Cebu City
Luāra (upe)	Loire
Moriss Kornēlijs Ešers	M. C. Escher
Sēna	Seine
Krona slimība	Morbus Crohn
Davao	Davao City
Kesonsitija	Quezon City
Lemāna	Le Mans
Bordo	Bordeaux
Korasona Akino	Corazon Aquino
Sistēmiskā sarkanā vilkēde	Lupus erythematodes
Buenosairesa	Buenos Aires
Urķis	Hacker
Mehiko	Mexiko-Stadt
Tokija	Präfektur Tokio
Lapasa	La Paz
Barselona	Barcelona
Ananass	Ananas
Misisipi (štats)	Mississippi (Staat)
Fernāns Magelāns	Ferdinand Magellan
Misisipi (upe)	Mississippi River
Utarpradēša	Uttar Pradesh
Utarakhanda	Uttarakhand
Mizorāma	Mizoram
Sikima	Sikkim
Patagonija	Patagonien
Tenesī	Tennessee
Rihards Vāgners	Richard Wagner
Roberts Luiss Stīvensons	Robert Louis Stevenson
Nāgpura	Nagpur
Dženisa Džoplina	Janis Joplin
Abidžana	Abidjan
Abū Dabī	Abu Dhabi
Astana	Astana
Ņūmeksika	New Mexico
Ramzess Lielais	Ramses II.
Atēnas	Athen
Minesota	Minnesota
Bagdāde	Bagdad
Karakasa	Caracas
Universālais koordinētais laiks	Koordinierte Weltzeit
Viskonsina	Wisconsin
Pune	Pune
Cicerons	Marcus Tullius Cicero
AC Milan	AC Mailand
Sindija Lopere	Cyndi Lauper
Aiova	Iowa
Nebraska	Nebraska
Gvatemala (pilsēta)	Guatemala-Stadt
Kanzasa	Kansas
Havana	Havanna
Tabaka	Tabak
Hindi	Hindi
Marathu valoda	Marathi
Internet Explorer	Internet Explorer
Cigarete	Zigarette
Ganēša	Ganesha
Misūri (štats)	Missouri
Georgs Simons Oms	Georg Simon Ohm
Luiziāna	Louisiana
Nāgālenda	Nagaland
Kentuki	Kentucky
Tims Linsekums	Tim Lincecum
Alfa Romeo 159	Alfa Romeo 159
Ārkanzasa	Arkansas
Nīls Ārmstrongs	Neil Armstrong
Urdu	Urdu
Čārlzs Lindbergs	Charles Lindbergh
Sīgfrids Ēdstrems	Sigfrid Edström
Edīte Piafa	Édith Piaf
Osijeka	Osijek
Elba	Elbe
Rijeka	Rijeka
Emsa	Ems
Oklahoma	Oklahoma
Vēzere	Weser
Johans Bleiks	Yohan Blake
Džastins Getlins	Justin Gatlin
Donava	Donau
Kirani Džeimss	Kirani James
Deivids Rudiša	David Lekuta Rudisha
Splita	Split
Rūra (upe)	Ruhr
Žaks Brels	Jacques Brel
Mozele	Mosel
Maina	Main
Mohameds Farahs	Mo Farah
Nekāra	Neckar
Ezekiels Kemboi	Ezekiel Kemboi
Zāle (upe)	Saale
Hāfele	Havel
Šprē	Spree
Džeisons Ričardsons	Jason Richardson (Basketballspieler)
Elde	Elde
Felikss Sančess	Félix Sánchez
Ziemeļjūra	Nordsee
Skageraks	Skagerrak
Maskavas apgabals	Oblast Moskau
Nesta Kārters	Nesta Carter
Ķīle	Kiel
Šverīne	Schwerin
Potsdama	Potsdam
Hannovere	Hannover
Diseldorfa	Düsseldorf
Mainca	Mainz
Vīsbādene	Wiesbaden
Dubrovnika	Dubrovnik
Zārbrikene	Saarbrücken
Minhene	München
Samaras apgabals	Oblast Samara
Erfurte	Erfurt
Drēzdene	Dresden
Magdeburga	Magdeburg
Volejbols	Volleyball
Insbruka	Innsbruck
Brēgenca	Bregenz
Vīne	Wien
Reno Lavilenī	Renaud Lavillenie
Madonna (mūziķe)	Madonna (Künstlerin)
Kopenhāgena	Kopenhagen
Kaļiņingradas apgabals	Oblast Kaliningrad
Stokholma	Stockholm
Tomašs Majevskis	Tomasz Majewski
Helsinki	Helsinki
Dāvids Štorls	David Storl
Murmanskas apgabals	Oblast Murmansk
Rīze Hofa	Reese Hoffa
Dublina	Dublin
Elagabals	Elagabal
Murmanska	Murmansk
Reikjavīka	Reykjavík
Roberts Hartings	Robert Harting
Ella Ficdžeralda	Ella Fitzgerald
Tallina	Tallinn
Rīga	Riga
Zanzibāra	Sansibar
Gerds Kanters	Gerd Kanter
Lūiss Ārmstrongs	Louis Armstrong
Bratislava	Bratislava
Budapešta	Budapest
Primožs Kozmuss	Primož Kozmus
Kodži Murofuši	Kōji Murofushi
Šarls Aznavūrs	Charles Aznavour
Kešorns Volkots	Keshorn Walcott
Eštons Ītons	Ashton Eaton
Gdaņska	Danzig
Trejs Hārdijs	Trey Hardee
Frankfurte pie Mainas	Frankfurt am Main
Vroclava	Breslau
Kočina	Kochi (Indien)
Lantāns	Lanthan
Prometijs	Promethium
Astronomiskā vienība	Astronomische Einheit
Samārijs	Samarium
Bagio	Baguio City
Ačeha	Aceh
Kaļiņingrada	Kaliningrad
Decijs	Decius (Kaiser)
Gadolīnijs	Gadolinium
Death Note	Death Note
Zinedins Zidāns	Zinédine Zidane
Terbijs	Terbium
Katoļticība	Katholizismus
Luksemburga (pilsēta)	Luxemburg (Stadt)
Disprozijs	Dysprosium
Vaduca	Vaduz
Bībele	Bibel
Holmijs	Holmium
Sanmarīno (pilsēta)	Stadt San Marino
Erbijs	Erbium
Pnompeņa	Phnom Penh
Arhangeļska	Archangelsk
Tūlijs	Thulium
Hošimina	Ho-Chi-Minh-Stadt
Iterbijs	Ytterbium
Lutēcijs	Lutetium
Hanoja	Hanoi
Patiesā Jēzus baznīca	Wahre Jesus-Kirche
Angļu valoda	Englische Sprache
Bangkoka	Bangkok
Volina (pilsēta)	Wolin (Stadt)
Andora la Velja	Andorra la Vella
Kualalumpūra	Kuala Lumpur
Taibei	Taipeh
Amerīcijs	Americium
Odesa	Odessa
Arhangeļskas apgabals	Oblast Archangelsk
Kirijs	Curium
Donhoja	Đồng Hới
Konsepsjona	Concepción (Chile)
Berklijs	Berkelium
Bergamo "Atalanta"	Atalanta Bergamo
Kalifornijs	Californium
Diplomātija	Diplomatie
Boloņa	Bologna
Einšteinijs	Einsteinium
Bologna F.C. 1909	FC Bologna
Petrozavodska	Petrosawodsk
Fermijs	Fermium
Kaljāri	Cagliari
Mendelevijs	Mendelevium
Kijeva	Kiew
Cagliari Calcio	Cagliari Calcio
Nobēlijs	Nobelium
Katānija	Catania
Ontārio	Ontario
Lourensijs	Lawrencium
Igo Loriss	Hugo Lloris
Olivjē Žirū	Olivier Giroud
Karīms Benzemā	Karim Benzema
Florāns Maluda	Florent Malouda
Karēlijas Republika	Republik Karelien
Patriss Evra	Patrice Evra
Franks Riberī	Franck Ribéry
Samīrs Nasrī	Samir Nasri
Gaels Klišī	Gaël Clichy
Otava	Ottawa
Anja Pēšone	Anja Pärson
Ēriks Abidāls	Éric Abidal
Džibrils Sisē	Djibril Cissé
Viljams Galā	William Gallas
Bakarijs Saņa	Bacary Sagna
Nikolā Anelka	Nicolas Anelka
Abu Diabī	Abou Diaby
Benjamins Raihs	Benjamin Raich
Jupitera pavadoņi	Liste der Jupitermonde
Džūba	Juba (Stadt)
Manitoba	Manitoba
Alberto Tomba	Alberto Tomba
Alberta	Alberta
Jaunskotija	Nova Scotia
Erevāna	Jerewan
Hermanis Maiers	Hermann Maier
Vologda	Wologda
Koņskovola	Końskowola
Dāresalāma	Daressalam
Hartūma	Khartum
Ņūbransvika	New Brunswick
Formula 1	Formel 1
Saturna pavadoņi	Liste der Saturnmonde
Britu Kolumbija	British Columbia
Prinča Edvarda Sala (Kanāda)	Prince Edward Island
2000. gads	2000
2003. gads	2003
2002. gads	2002
2001. gads	2001
Saskačevana	Saskatchewan
2012. gads	2012
2011. gads	2011
2010. gads	2010
2009. gads	2009
Oglekļa dioksīds	Kohlenstoffdioxid
2013. gads	2013
2014. gads	2014
2015. gads	2015
Ņūfaundlenda un Labradora	Neufundland und Labrador
2008. gads	2008
JavaScript	JavaScript
Ziemeļrietumu Teritorijas	Nordwest-Territorien
Jukona (teritorija)	Yukon (Territorium)
2004. gads	2004
Vologdas apgabals	Oblast Wologda
2005. gads	2005
2006. gads	2006
Nunavuta	Nunavut
2007. gads	2007
Oglekļa monoksīds	Kohlenstoffmonoxid
Verona	Verona
Ikaluita	Iqaluit
1900. gads	1900
1901. gads	1901
Fransuā Miterāns	François Mitterrand
Tits Līvijs	Titus Livius
Džuzepe Farina	Giuseppe Farina
Šarls de Golls	Charles de Gaulle
1902. gads	1902
Florence	Florenz
1903. gads	1903
1904. gads	1904
1905. gads	1905
1907. gads	1907
1906. gads	1906
ACF Fiorentina	AC Florenz
HTML5	HTML5
Seneka Jaunākais	Seneca
1908. gads	1908
1909. gads	1909
1992. gads	1992
Jelounaifa	Yellowknife (Stadt)
1991. gads	1991
JSON	JavaScript Object Notation
1990. gads	1990
1993. gads	1993
Esene	Essen
1994. gads	1994
1995. gads	1995
Huans Manuels Fanhio	Juan Manuel Fangio
1996. gads	1996
Deivids Linčs	David Lynch
Marsels Hiršers	Marcel Hirscher
Komi	Republik Komi
Genoa C.F.C.	CFC Genua
1910. gads	1910
1911. gads	1911
1912. gads	1912
Leipciga	Leipzig
1913. gads	1913
Sentdžonsa (Kanāda)	St. John’s (Neufundland)
1914. gads	1914
1915. gads	1915
Alberto Askari	Alberto Ascari
1916. gads	1916
1997. gads	1997
1998. gads	1998
Nirnberga	Nürnberg
1999. gads	1999
1917. gads	1917
1918. gads	1918
Pārtika	Lebensmittel
Edmontona	Edmonton
Hjētils Andrē Omots	Kjetil André Aamodt
Dīsburga	Duisburg
Čūskas	Schlangen
Bohuma	Bochum
Maiks Hotorns	Mike Hawthorn
Žaks Širaks	Jacques Chirac
Vupertāle	Wuppertal
Gaismas ātrums	Lichtgeschwindigkeit
Bīlefelde	Bielefeld
XML	Extensible Markup Language
Manheima	Mannheim
Orālais sekss	Oralverkehr
Ridžaina	Regina (Saskatchewan)
Valerī Žiskārs d'Estēns	Valéry Giscard d’Estaing
Džeks Brebems	Jack Brabham
Neitrīno	Neutrino
Bode Millers	Bode Miller
Viktorija (Kanāda)	Victoria (British Columbia)
LOL	LOL
Vinipega	Winnipeg
Neptūna pavadoņi	Liste der Neptunmonde
Helifeksa	Halifax (Nova Scotia)
Siktivkara	Syktywkar
Čerepoveca	Tscherepowez
Kvebeka (pilsēta)	Québec (Stadt)
UTC-12	UTC−12
1. janvāris	1. Januar
2. janvāris	2. Januar
Urāna pavadoņi	Liste der Uranusmonde
UTC-11	UTC−11
1920. gads	1920
3. janvāris	3. Januar
1919. gads	1919
Tacits	Tacitus
1921. gads	1921
Ņencu autonomais apvidus	Autonomer Kreis der Nenzen
1922. gads	1922
Lunda	Lund
4. janvāris	4. Januar
1923. gads	1923
Biobio reģions	Región del Bío-Bío
UTC-9:30	UTC−9:30
Lenss Ārmstrongs	Lance Armstrong
1924. gads	1924
Narjanmara	Narjan-Mar
Asteroīdu josla	Asteroidengürtel
UTC-9	UTC−9
Krievijas PFSR	Russische Sozialistische Föderative Sowjetrepublik
Žoržs Pompidū	Georges Pompidou
Ļeņingradas apgabals	Oblast Leningrad
JPEG	JPEG
Pundurplanēta	Zwergplanet
Kick-Ass: Jaunie supervaroņi	Kick-Ass (Film)
5. janvāris	5. Januar
Arika	Arica
UTC-8	UTC−8
Malme	Malmö
UTC-7	UTC−7
Pleskava	Pskow
Pleskavas apgabals	Oblast Pskow
Sizraņa	Sysran
6. janvāris	6. Januar
Krusttēva Toma būda	Onkel Toms Hütte
Elektrons	Elektron
7. janvāris	7. Januar
8. janvāris	8. Januar
Veļikijnovgoroda	Weliki Nowgorod
9. janvāris	9. Januar
Novgorodas apgabals	Oblast Nowgorod
10. janvāris	10. Januar
Ņižņijnovgorodas apgabals	Oblast Nischni Nowgorod
11. janvāris	11. Januar
12. janvāris	12. Januar
Kolumbija (upe)	Columbia River
Bazs Oldrins	Buzz Aldrin
Scīpions Afrikānis	Publius Cornelius Scipio Africanus
13. janvāris	13. Januar
Birmingema	Birmingham
14. janvāris	14. Januar
15. janvāris	15. Januar
16. janvāris	16. Januar
Toms Henkss	Tom Hanks
17. janvāris	17. Januar
18. janvāris	18. Januar
19. janvāris	19. Januar
20. janvāris	20. Januar
Rūpnieciskā revolūcija	Industrielle Revolution
Benzols	Benzol
21. janvāris	21. Januar
22. janvāris	22. Januar
23. janvāris	23. Januar
Romas impērija	Römische Kaiserzeit
24. janvāris	24. Januar
25. janvāris	25. Januar
Minska	Minsk
26. janvāris	26. Januar
Microsoft	Microsoft
27. janvāris	27. Januar
28. janvāris	28. Januar
29. janvāris	29. Januar
30. janvāris	30. Januar
Tvera	Twer
31. janvāris	31. Januar
Tveras apgabals	Oblast Twer
Protons	Proton
2. decembris	2. Dezember
1. decembris	1. Dezember
3. decembris	3. Dezember
7. decembris	7. Dezember
5. decembris	5. Dezember
8. decembris	8. Dezember
10. decembris	10. Dezember
6. decembris	6. Dezember
9. decembris	9. Dezember
Pink Floyd	Pink Floyd
4. decembris	4. Dezember
EADS	Airbus Group
1. februāris	1. Februar
2. februāris	2. Februar
Nātrija hlorīds	Natriumchlorid
3. februāris	3. Februar
Kurova	Kurów
4. februāris	4. Februar
5. februāris	5. Februar
6. februāris	6. Februar
7. februāris	7. Februar
8. februāris	8. Februar
9. februāris	9. Februar
10. februāris	10. Februar
Ķīmija	Chemie
Nikijs Pedersens	Nicki Pedersen
Led Zeppelin	Led Zeppelin
14. februāris	14. Februar
13. februāris	13. Februar
15. februāris	15. Februar
11. februāris	11. Februar
12. februāris	12. Februar
Smoļenska	Smolensk
1. kavalērijas divīzija (ASV)	1st Cavalry Division (Vereinigte Staaten)
Robins van Persijs	Robin van Persie
19. februāris	19. Februar
17. februāris	17. Februar
16. februāris	16. Februar
18. februāris	18. Februar
20. februāris	20. Februar
Divpadsmit saniknotu vīru	Die zwölf Geschworenen
Analītiskā ķīmija	Analytische Chemie
Smoļenskas apgabals	Oblast Smolensk
Neitrons	Neutron
21. februāris	21. Februar
22. februāris	22. Februar
23. februāris	23. Februar
24. februāris	24. Februar
25. februāris	25. Februar
26. februāris	26. Februar
27. gads	27
27. februāris	27. Februar
28. februāris	28. Februar
11. decembris	11. Dezember
29. februāris	29. Februar
Bliss	Bliss (Bild)
12. decembris	12. Dezember
C sharp	C-Sharp
13. decembris	13. Dezember
14. decembris	14. Dezember
15. decembris	15. Dezember
2. marts	2. März
3. marts	3. März
5. marts	5. März
1. marts	1. März
7. marts	7. März
8. marts	8. März
4. marts	4. März
10. marts	10. März
11. marts	11. März
6. marts	6. März
13. marts	13. März
9. marts	9. März
12. marts	12. März
15. marts	15. März
14. marts	14. März
C++	C++
Sālsskābe	Salzsäure
16. decembris	16. Dezember
17. decembris	17. Dezember
Krisjānsanna	Kristiansand
16. marts	16. März
17. marts	17. März
18. marts	18. März
Jaroslavļa	Jaroslawl
19. marts	19. März
1989. gads	1989
1988. gads	1988
20. marts	20. März
1987. gads	1987
1986. gads	1986
1985. gads	1985
1984. gads	1984
21. marts	21. März
1983. gads	1983
22. marts	22. März
1982. gads	1982
1981. gads	1981
18. decembris	18. Dezember
1980. gads	1980
23. marts	23. März
Jaroslavļas apgabals	Oblast Jaroslawl
Mogadīšo	Mogadischu
19. decembris	19. Dezember
24. marts	24. März
25. marts	25. März
20. decembris	20. Dezember
26. marts	26. März
27. marts	27. März
28. marts	28. März
29. marts	29. März
30. marts	30. März
31. marts	31. März
Aljē	Allier (Fluss)
Naso	Nassau (Bahamas)
Fluorūdeņradis	Fluorwasserstoff
Andromedas galaktika	Andromedagalaxie
Sana	Sanaa
1970. gads	1970
1971. gads	1971
1972. gads	1972
1973. gads	1973
1974. gads	1974
1975. gads	1975
1976. gads	1976
1977. gads	1977
1978. gads	1978
1979. gads	1979
1969. gads	1969
Trīsdesmitgadu karš	Dreißigjähriger Krieg
Tarbozaurs	Tarbosaurus
Konrāds Adenauers	Konrad Adenauer
Datu saspiešana	Datenkompression
Benedikts XVI	Benedikt XVI.
15. aprīlis	15. April
13. aprīlis	13. April
12. aprīlis	12. April
14. aprīlis	14. April
11. aprīlis	11. April
10. aprīlis	10. April
8. aprīlis	8. April
9. aprīlis	9. April
7. aprīlis	7. April
6. aprīlis	6. April
5. aprīlis	5. April
4. aprīlis	4. April
3. aprīlis	3. April
1. aprīlis	1. April
2. aprīlis	2. April
Habla kosmiskais teleskops	Hubble-Weltraumteleskop
Villijs Brants	Willy Brandt
Helmūts Šmits	Helmut Schmidt
Helmūts Kols	Helmut Kohl
16. aprīlis	16. April
17. aprīlis	17. April
18. aprīlis	18. April
19. aprīlis	19. April
20. aprīlis	20. April
21. aprīlis	21. April
22. aprīlis	22. April
23. aprīlis	23. April
24. aprīlis	24. April
Gerhards Šrēders	Gerhard Schröder
25. aprīlis	25. April
26. aprīlis	26. April
27. aprīlis	27. April
28. aprīlis	28. April
29. aprīlis	29. April
30. aprīlis	30. April
Dabiskais pavadonis	Satellit (Astronomie)
Joahims Gauks	Joachim Gauck
Mašīnmācīšanās	Maschinelles Lernen
Kristians Vulfs	Christian Wulff
Horsts Kēlers	Horst Köhler
1. maijs	1. Mai
2. maijs	2. Mai
Kālija bromīds	Kaliumbromid
3. maijs	3. Mai
4. maijs	4. Mai
5. maijs	5. Mai
6. maijs	6. Mai
7. maijs	7. Mai
8. maijs	8. Mai
9. maijs	9. Mai
10. maijs	10. Mai
11. maijs	11. Mai
12. maijs	12. Mai
13. maijs	13. Mai
14. maijs	14. Mai
15. maijs	15. Mai
Titāns (pavadonis)	Titan (Mond)
Rihards fon Veiczekers	Richard von Weizsäcker
16. maijs	16. Mai
17. maijs	17. Mai
18. maijs	18. Mai
19. maijs	19. Mai
20. maijs	20. Mai
21. maijs	21. Mai
22. maijs	22. Mai
23. maijs	23. Mai
24. maijs	24. Mai
25. maijs	25. Mai
26. maijs	26. Mai
27. maijs	27. Mai
28. maijs	28. Mai
29. maijs	29. Mai
30. maijs	30. Mai
31. maijs	31. Mai
Kostroma	Kostroma
Kostromas apgabals	Oblast Kostroma
Pols Makartnijs	Paul McCartney
Egons Krencs	Egon Krenz
21. decembris	21. Dezember
Pijs XII	Pius XII.
Ērihs Honekers	Erich Honecker
Romas "Lazio"	Lazio Rom
14. jūnijs	14. Juni
15. jūnijs	15. Juni
13. jūnijs	13. Juni
10. jūnijs	10. Juni
7. jūnijs	7. Juni
11. jūnijs	11. Juni
9. jūnijs	9. Juni
12. jūnijs	12. Juni
6. jūnijs	6. Juni
8. jūnijs	8. Juni
5. jūnijs	5. Juni
3. jūnijs	3. Juni
2. jūnijs	2. Juni
1. jūnijs	1. Juni
4. jūnijs	4. Juni
Ivanova	Iwanowo
Ringo Stārs	Ringo Starr
Neapole	Neapel
22. decembris	22. Dezember
SSC Napoli	SSC Neapel
Džordžs Harisons	George Harrison
1968. gads	1968
Frīdrihs Eberts	Friedrich Ebert
1967. gads	1967
1966. gads	1966
1965. gads	1965
1964. gads	1964
16. jūnijs	16. Juni
Ivanovas apgabals	Oblast Iwanowo
Džons Franklins	John Franklin
Palermo	Palermo
30. jūnijs	30. Juni
Gausa izslēgšanas metode	Gaußsches Eliminationsverfahren
29. jūnijs	29. Juni
28. jūnijs	28. Juni
26. jūnijs	26. Juni
25. jūnijs	25. Juni
22. jūnijs	22. Juni
27. jūnijs	27. Juni
24. jūnijs	24. Juni
20. jūnijs	20. Juni
Pauls fon Hindenburgs	Paul von Hindenburg
23. jūnijs	23. Juni
19. jūnijs	19. Juni
18. jūnijs	18. Juni
21. jūnijs	21. Juni
17. jūnijs	17. Juni
Čaks Noriss	Chuck Norris
U.S. Città di Palermo	US Palermo
23. decembris	23. Dezember
Vilhelms II Hohencollerns	Wilhelm II. (Deutsches Reich)
Gomeļa	Homel
Brūss Viliss	Bruce Willis
Parma	Parma
Vladimira	Wladimir (Russland)
Arnolds Švarcenegers	Arnold Schwarzenegger
15. jūlijs	15. Juli
13. jūlijs	13. Juli
12. jūlijs	12. Juli
10. jūlijs	10. Juli
9. jūlijs	9. Juli
14. jūlijs	14. Juli
8. jūlijs	8. Juli
Parma FC	FC Parma
7. jūlijs	7. Juli
6. jūlijs	6. Juli
5. jūlijs	5. Juli
2. jūlijs	2. Juli
4. jūlijs	4. Juli
3. jūlijs	3. Juli
1. jūlijs	1. Juli
11. jūlijs	11. Juli
Vladimiras apgabals	Oblast Wladimir
Peskāra	Pescara
24. decembris	24. Dezember
Brēmerhāfene	Bremerhaven
Saša Greja	Sasha Grey
Watford F.C.	FC Watford
31. jūlijs	31. Juli
30. jūlijs	30. Juli
29. jūlijs	29. Juli
28. jūlijs	28. Juli
27. jūlijs	27. Juli
25. jūlijs	25. Juli
24. jūlijs	24. Juli
23. jūlijs	23. Juli
26. jūlijs	26. Juli
22. jūlijs	22. Juli
19. jūlijs	19. Juli
21. jūlijs	21. Juli
20. jūlijs	20. Juli
17. jūlijs	17. Juli
18. jūlijs	18. Juli
16. jūlijs	16. Juli
Skerņevice	Skierniewice
Futbols	Fußball
Luijs de Finess	Louis de Funès
AS Roma	AS Rom
Minstere	Münster (Westfalen)
X-faili. Slepenās lietas	Akte X – Die unheimlichen Fälle des FBI
25. decembris	25. Dezember
Rjazaņa	Rjasan
Augsburga	Augsburg
Sjēna	Siena
Rjazaņas apgabals	Oblast Rjasan
Jaroslavs Hašeks	Jaroslav Hašek
1963. gads	1963
Lehs Kačiņskis	Lech Kaczyński
Menhengladbaha	Mönchengladbach
26. decembris	26. Dezember
Holokausts	Holocaust
1962. gads	1962
Gelzenkirhene	Gelsenkirchen
IPhone	IPhone
Torino F.C.	FC Turin
Tula	Tula
Braunšveiga	Braunschweig
14. augusts	14. August
15. augusts	15. August
13. augusts	13. August
12. augusts	12. August
11. augusts	11. August
10. augusts	10. August
8. augusts	8. August
7. augusts	7. August
9. augusts	9. August
5. augusts	5. August
4. augusts	4. August
2. augusts	2. August
3. augusts	3. August
6. augusts	6. August
1. augusts	1. August
Udīne	Udine
Džeronimo	Geronimo
Tulas apgabals	Oblast Tula
Brāļi Grimmi	Brüder Grimm
Hemnica	Chemnitz
IPad	IPad
Udinese Calcio	Udinese Calcio
27. decembris	27. Dezember
Brjanska	Brjansk
Krēfelde	Krefeld
Madride	Madrid
Eltons Džons	Elton John
Brjanskas apgabals	Oblast Brjansk
Zemūdene	U-Boot
16. augusts	16. August
Coca-Cola	Coca-Cola
Halle	Halle (Saale)
29. augusts	29. August
28. augusts	28. August
30. augusts	30. August
25. augusts	25. August
26. augusts	26. August
23. augusts	23. August
27. augusts	27. August
21. augusts	21. August
20. augusts	20. August
24. augusts	24. August
18. augusts	18. August
17. augusts	17. August
22. augusts	22. August
19. augusts	19. August
31. augusts	31. August
Maikls Džeksons	Michael Jackson
28. decembris	28. Dezember
Freiburga	Freiburg im Breisgau
Kaluga	Kaluga
Oberhauzene	Oberhausen
Gripa	Influenza
Bogota	Bogotá
Kalugas apgabals	Oblast Kaluga
Lībeka	Lübeck
Brazilja	Brasília
Marihuāna	Cannabis als Rauschmittel
15. septembris	15. September
14. septembris	14. September
13. septembris	13. September
12. septembris	12. September
8. septembris	8. September
11. septembris	11. September
7. septembris	7. September
10. septembris	10. September
5. septembris	5. September
4. septembris	4. September
9. septembris	9. September
2. septembris	2. September
6. septembris	6. September
1. septembris	1. September
3. septembris	3. September
Rostoka	Rostock
29. decembris	29. Dezember
Odekolons	Kölnisch Wasser
Kasele	Kassel
Aleksandrs Lukašenko	Aljaksandr Lukaschenka
Lima	Lima
Vējiem līdzi (filma)	Vom Winde verweht (Film)
